,Company Name,Website,Industry,Location,Decision Maker,Title,LinkedIn URL,Contact Email,Firm Size,No. of Employees,Hiring in 2023,Hiring in 2024,Valuation in Million ($)
0,Zoho,www.zoho.com,SaaS,"Chennai, India",Sridhar Vembu,CEO,linkedin.com/in/sridharvembu,info@zohocorp.com,Large,15000,Stable,Expanding,5930.0
1,Rubrik,www.rubrik.com,Cyber and Data security,"Palo Alto, USA",Bipul Sinha,CEO,linkedin.com/in/bipul-sinha,contact@rubrik.com,Large,3100,Downsizing,Downsizing,5600.0
2,Druva,www.druva.com,SaaS,"Sunnyvale, USA",Jaspreet Singh,CEO,linkedin.com/in/jaspreet-singh-1a8b4,info@druva.com,Large,1000,Stable,Expanding,2000.0
3,Capillary Technologies,www.capillarytech.com,SaaS,"Bangalore, India",Aneesh Reddy,CEO,linkedin.com/in/aneeshreddy,contact@capillarytech.com,Medium,1041,Downsizing,Downsizing,121.0
4,LeadSquared,www.leadsquared.com,SaaS,"Bangalore, India",Nilesh Patel,CEO,linkedin.com/in/nileshmpatel,sales@leadsquared.com,Medium,1200,Downsizing,Stable,870.0
5,SirionLabs,www.sirionlabs.com,SaaS,"Gurgaon, India",Ajay Agrawal,CEO,linkedin.com/in/ajayagrawal,info@sirionlabs.com,Large,991,Expanding,Expanding,1000.0
6,FarEye,www.fareye.com,Logistic,"Noida, India",Kushal Nahata,CEO,linkedin.com/in/kushalnahata,contact@fareye.com,Medium,581,Expanding,Stable,387.0
7,Darwinbox,www.darwinbox.com,SaaS,"Hyderabad, India",Jayant Paleti,Co-founder,linkedin.com/in/jayantpaleti,info@darwinbox.com,Medium,1301,Downsizing,Expanding,945.0
8,Exotel,www.exotel.com,Telicommunication,"Bangalore, India",Shivakumar Ganesan,CEO,linkedin.com/in/shivg,hello@exotel.com,Medium,696,Downsizing,Expanding,356.0
9,Locus,www.locus.,Logistic,"Bangalore, India",Nishith Rastogi,CEO,linkedin.com/in/nishithrastogi,info@locus.sh,Medium,350,Stable,Expanding,300.0
10,JIFFY.ai,www.jiffy.ai,SaaS,"Bangalore, India",Babu Sivadasan,CEO,linkedin.com/in/babusivadasan,contact@jiffy.ai,Medium,110,Stable,Downsizing,122.0
11,Airmeet,www.airmeet.com,SaaS,"Bangalore, India",Lalit Mangal,Co-founder,linkedin.com/in/lalitmangal,support@airmeet.com,Small,275,Stable,Downsizing,50.0
12,Flock,www.flock.com,Telicommunication,"Mumbai, India",Bhavin Turakhia,CEO,linkedin.com/in/bhavin,info@flock.com,Large,342,Stable,Expanding,3500.0
13,Pando,www.pando.ai,Logistic,"Chennai, India",Krishna Kumar,CEO,linkedin.com/in/krishnakumar,contact@pando.ai,Small,294,Stable,Stable,73.5
14,Sprinto,www.sprinto.com,SaaS,"Bangalore, India",Girish Redekar,CEO,linkedin.com/in/girishredek,hello@sprinto.com,Medium,319,Stable,Expanding,104.0
15,SingleInterface,www.singleinterface.com,SaaS,"Noida, India",Ankur Singla,CEO,linkedin.com/in/ankursingla,info@singleinterface.com,Medium,235,Stable,Expanding,267.0
16,Skit,www.skit.ai,Telicommunication,"Bangalore, India",Sourabh Gupta,CEO,linkedin.com/in/sourabhgupta,contact@skit.ai,Small,191,Downsizing,Expanding,66.0
17,NowFloats,www.nowfloats.com,SaaS,"Hyderabad, India",Jasminder Singh Gulati,CEO,linkedin.com/in/jasmindersing,support@nowfloats.com,Small,503,Expanding,Downsizing,58.4
18,InFeedo,www.infeedo.com,SaaS,"Gurgaon, India",Tanmaya Jain,CEO,linkedin.com/in/tanmayajain,hello@infeedo.com,Small,250,Expanding,Stable,1.5
19,Hotelogix,www.hotelogix.com,Hospitality,"Noida, India",Aditya Sanghi,CEO,linkedin.com/in/adityasanghi,sales@hotelogix.com,Small,169,Expanding,Downsizing,12.6
20,BluePi Consulting,www.bluepiit.com,IT Services,"Gurgaon, India",Pronam Chatterjee,CEO,linkedin.com/in/pronamchatterjee,info@bluepiit.com,Small,124,Expanding,Downsizing,9.0
