Company Name,Website,Industry/Sector,Headquarters Location,Decision Maker(s) Name,Title/Role,LinkedIn URL,Contact Email,Firm Size,No. of Employees,Hiring in 2023,Hiring in 2024
Zoho,https://www.zoho.com,SaaS,"Chennai, India",Sridhar Vembu,CEO,https://linkedin.com/in/sridharvembu,info@zohocorp.com,Small,4160,Stable,Expanding
Rubrik,https://www.rubrik.com,SaaS,"Palo Alto, USA",Bipul Sinha,CEO,https://linkedin.com/in/bipul-sinha,contact@rubrik.com,Small,626,Downsizing,Downsizing
Druva,https://www.druva.com,SaaS,"Sunnyvale, USA",Jaspreet Singh,CEO,https://linkedin.com/in/jaspreet-singh-1a8b4,info@druva.com,Large,2863,Stable,Expanding
Capillary Technologies,https://www.capillarytech.com,SaaS,"Bangalore, India",Aneesh Reddy,CEO,https://linkedin.com/in/aneeshreddy,contact@capillarytech.com,Small,1393,Downsizing,Downsizing
LeadSquared,https://www.leadsquared.com,SaaS,"Bangalore, India",Nilesh Patel,CEO,https://linkedin.com/in/nileshmpatel,sales@leadsquared.com,Large,2655,Downsizing,Stable
SirionLabs,https://www.sirionlabs.com,SaaS,"Gurgaon, India",Ajay Agrawal,CEO,https://linkedin.com/in/ajayagrawal,info@sirionlabs.com,Small,3269,Expanding,Expanding
FarEye,https://www.fareye.com,SaaS,"Noida, India",Kushal Nahata,CEO,https://linkedin.com/in/kushalnahata,contact@fareye.com,Large,1424,Expanding,Stable
Darwinbox,https://www.darwinbox.com,SaaS,"Hyderabad, India",Jayant Paleti,Co-founder,https://linkedin.com/in/jayantpaleti,info@darwinbox.com,Small,1161,Downsizing,Expanding
Exotel,https://www.exotel.com,SaaS,"Bangalore, India",Shivakumar Ganesan,CEO,https://linkedin.com/in/shivg,hello@exotel.com,Medium,3190,Downsizing,Expanding
Locus,https://www.locus.sh,SaaS,"Bangalore, India",Nishith Rastogi,CEO,https://linkedin.com/in/nishithrastogi,info@locus.sh,Medium,2984,Stable,Expanding
JIFFY.ai,https://www.jiffy.ai,SaaS,"Bangalore, India",Babu Sivadasan,CEO,https://linkedin.com/in/babusivadasan,contact@jiffy.ai,Medium,4499,Stable,Downsizing
Airmeet,https://www.airmeet.com,SaaS,"Bangalore, India",Lalit Mangal,Co-founder,https://linkedin.com/in/lalitmangal,support@airmeet.com,Large,198,Stable,Downsizing
Flock,https://www.flock.com,SaaS,"Mumbai, India",Bhavin Turakhia,CEO,https://linkedin.com/in/bhavin,info@flock.com,Small,3718,Stable,Expanding
Pando,https://www.pando.ai,SaaS,"Chennai, India",Krishna Kumar,CEO,https://linkedin.com/in/krishnakumar,contact@pando.ai,Small,2235,Stable,Stable
Sprinto,https://www.sprinto.com,SaaS,"Bangalore, India",Girish Redekar,CEO,https://linkedin.com/in/girishredek,hello@sprinto.com,Large,1951,Stable,Expanding
SingleInterface,https://www.singleinterface.com,SaaS,"Noida, India",Ankur Singla,CEO,https://linkedin.com/in/ankursingla,info@singleinterface.com,Medium,4627,Stable,Expanding
Skit,https://www.skit.ai,SaaS,"Bangalore, India",Sourabh Gupta,CEO,https://linkedin.com/in/sourabhgupta,contact@skit.ai,Small,4612,Downsizing,Expanding
NowFloats,https://www.nowfloats.com,SaaS,"Hyderabad, India",Jasminder Singh Gulati,CEO,https://linkedin.com/in/jasmindersingh,support@nowfloats.com,Medium,4498,Expanding,Downsizing
InFeedo,https://www.infeedo.com,SaaS,"Gurgaon, India",Tanmaya Jain,CEO,https://linkedin.com/in/tanmayajain,hello@infeedo.com,Large,104,Expanding,Stable
Hotelogix,https://www.hotelogix.com,SaaS,"Noida, India",Aditya Sanghi,CEO,https://linkedin.com/in/adityasanghi,sales@hotelogix.com,Small,4153,Expanding,Downsizing
BluePi Consulting,https://www.bluepiit.com,IT Services,"Gurgaon, India",Pronam Chatterjee,CEO,https://linkedin.com/in/pronamchatterjee,info@bluepiit.com,Medium,762,Expanding,Downsizing
